wavelength_nm	intensity
721.892000	3489
721.735000	3492
721.577000	3480
721.420000	3487
721.262000	3481
721.105000	3486
720.948000	3517
720.790000	3523
720.633000	3502
720.475000	3495
720.318000	3494
720.160000	3494
720.003000	3502
719.845000	3497
719.688000	3502
719.530000	3482
719.373000	3490
719.215000	3481
719.058000	3519
718.900000	3497
718.743000	3510
718.586000	3498
718.428000	3508
718.271000	3505
718.113000	3486
717.956000	3506
717.798000	3504
717.641000	3505
717.483000	3508
717.326000	3442
717.168000	3445
717.011000	3474
716.853000	3504
716.696000	3471
716.538000	3448
716.381000	3504
716.223000	3545
716.066000	3509
715.909000	3500
715.751000	3480
715.594000	3483
715.436000	3470
715.279000	3458
715.121000	3486
714.964000	3499
714.806000	3549
714.649000	3535
714.491000	3494
714.334000	3487
714.176000	3475
714.019000	3496
713.861000	3536
713.704000	3515
713.547000	3483
713.389000	3472
713.232000	3502
713.074000	3509
712.917000	3513
712.759000	3495
712.602000	3473
712.444000	3499
712.287000	3514
712.129000	3496
711.972000	3498
711.814000	3510
711.657000	3562
711.499000	3515
711.342000	3505
711.185000	3492
711.027000	3487
710.870000	3514
710.712000	3507
710.555000	3513
710.397000	3545
710.240000	3531
710.082000	3500
709.925000	3502
709.767000	3507
709.610000	3495
709.452000	3509
709.295000	3532
709.137000	3499
708.980000	3507
708.822000	3516
708.665000	3527
708.508000	3530
708.350000	3497
708.193000	3502
708.035000	3472
707.878000	3496
707.720000	3483
707.563000	3478
707.405000	3496
707.248000	3527
707.090000	3533
706.933000	3535
706.775000	3550
706.618000	3496
706.460000	3509
706.303000	3531
706.146000	3478
705.988000	3457
705.831000	3479
705.673000	3512
705.516000	3544
705.358000	3512
705.201000	3525
705.043000	3498
704.886000	3500
704.728000	3500
704.571000	3496
704.413000	3532
704.256000	3525
704.098000	3503
703.941000	3510
703.784000	3531
703.626000	3499
703.469000	3477
703.311000	3480
703.154000	3475
702.996000	3496
702.839000	3531
702.681000	3556
702.524000	3520
702.366000	3510
702.209000	3531
702.051000	3527
701.894000	3513
701.736000	3501
701.579000	3479
701.422000	3498
701.264000	3548
701.107000	3546
700.949000	3522
700.792000	3532
700.634000	3554
700.477000	3542
700.319000	3520
700.162000	3558
700.004000	3545
699.847000	3482
699.689000	3490
699.532000	3508
699.374000	3510
699.217000	3554
699.059000	3524
698.902000	3490
698.745000	3520
698.587000	3495
698.430000	3490
698.272000	3493
698.115000	3511
697.957000	3527
697.800000	3560
697.642000	3529
697.485000	3535
697.327000	3548
697.170000	3522
697.012000	3512
696.855000	3526
696.697000	3490
696.540000	3507
696.388000	3520
696.235000	3518
696.083000	3483
695.931000	3500
695.778000	3494
695.626000	3462
695.474000	3488
695.321000	3545
695.169000	3527
695.017000	3544
694.864000	3538
694.712000	3510
694.560000	3534
694.407000	3519
694.255000	3505
694.103000	3521
693.950000	3521
693.798000	3558
693.646000	3538
693.493000	3505
693.341000	3530
693.189000	3538
693.036000	3552
692.884000	3532
692.732000	3478
692.579000	3487
692.427000	3500
692.275000	3521
692.122000	3509
691.970000	3524
691.818000	3543
691.665000	3549
691.513000	3532
691.361000	3463
691.208000	3494
691.056000	3513
690.904000	3533
690.751000	3531
690.599000	3518
690.447000	3531
690.294000	3568
690.142000	3546
689.990000	3534
689.837000	3518
689.685000	3523
689.533000	3501
689.380000	3488
689.228000	3502
689.076000	3513
688.923000	3530
688.771000	3559
688.619000	3539
688.466000	3558
688.314000	3499
688.162000	3516
688.009000	3513
687.857000	3533
687.705000	3533
687.552000	3584
687.400000	3558
687.248000	3511
687.095000	3540
686.943000	3539
686.791000	3520
686.638000	3535
686.486000	3551
686.334000	3523
686.181000	3526
686.029000	3563
685.877000	3581
685.724000	3552
685.572000	3543
685.420000	3573
685.267000	3547
685.115000	3532
684.963000	3564
684.811000	3548
684.658000	3552
684.506000	3542
684.354000	3573
684.201000	3578
684.049000	3513
683.897000	3508
683.744000	3541
683.592000	3551
683.440000	3552
683.287000	3562
683.135000	3547
682.983000	3539
682.830000	3557
682.678000	3573
682.526000	3575
682.373000	3512
682.221000	3535
682.069000	3526
681.916000	3514
681.764000	3535
681.612000	3551
681.459000	3569
681.307000	3602
681.155000	3597
681.002000	3543
680.850000	3523
680.698000	3541
680.545000	3569
680.393000	3590
680.241000	3544
680.088000	3536
679.936000	3561
679.784000	3562
679.631000	3601
679.479000	3587
679.327000	3559
679.174000	3578
679.022000	3591
678.870000	3566
678.717000	3573
678.565000	3555
678.413000	3552
678.260000	3581
678.108000	3594
677.956000	3571
677.803000	3552
677.651000	3575
677.499000	3588
677.346000	3595
677.194000	3599
677.042000	3600
676.889000	3581
676.737000	3585
676.585000	3586
676.432000	3576
676.280000	3587
676.128000	3583
675.975000	3591
675.823000	3613
675.671000	3612
675.518000	3614
675.366000	3609
675.214000	3585
675.061000	3561
674.909000	3550
674.757000	3542
674.604000	3578
674.452000	3601
674.300000	3592
674.147000	3595
673.995000	3638
673.843000	3631
673.690000	3627
673.538000	3624
673.386000	3614
673.233000	3618
673.081000	3586
672.929000	3593
672.776000	3654
672.624000	3630
672.472000	3594
672.319000	3652
672.167000	3671
672.015000	3609
671.862000	3591
671.710000	3581
671.558000	3569
671.405000	3605
671.253000	3676
671.101000	3673
670.948000	3648
670.796000	3618
670.644000	3642
670.491000	3630
670.339000	3600
670.187000	3587
670.034000	3618
669.882000	3604
669.730000	3628
669.577000	3672
669.425000	3647
669.273000	3646
669.120000	3649
668.968000	3631
668.816000	3677
668.663000	3669
668.511000	3674
668.359000	3657
668.206000	3653
668.054000	3675
667.902000	3663
667.749000	3694
667.597000	3708
667.445000	3648
667.292000	3661
667.140000	3634
666.988000	3620
666.835000	3625
666.683000	3640
666.531000	3661
666.378000	3653
666.226000	3678
666.074000	3669
665.921000	3624
665.769000	3620
665.617000	3612
665.464000	3625
665.312000	3594
665.160000	3640
665.007000	3656
664.855000	3620
664.703000	3632
664.550000	3648
664.398000	3633
664.246000	3629
664.093000	3635
663.941000	3649
663.789000	3667
663.636000	3631
663.484000	3607
663.332000	3614
663.179000	3627
663.027000	3570
662.875000	3551
662.722000	3581
662.570000	3607
662.418000	3608
662.265000	3630
662.113000	3629
661.961000	3619
661.808000	3634
661.656000	3613
661.504000	3567
661.351000	3594
661.199000	3625
661.047000	3614
660.894000	3632
660.742000	3663
660.590000	3617
660.438000	3596
660.285000	3591
660.133000	3581
659.981000	3603
659.828000	3628
659.676000	3580
659.524000	3583
659.371000	3582
659.219000	3590
659.067000	3578
658.914000	3613
658.762000	3615
658.610000	3630
658.457000	3602
658.305000	3590
658.153000	3621
658.000000	3645
657.848000	3629
657.696000	3628
657.543000	3604
657.391000	3631
657.239000	3617
657.086000	3624
656.934000	3613
656.782000	3628
656.629000	3615
656.477000	3586
656.325000	3621
656.172000	3680
656.020000	3658
655.868000	3648
655.715000	3648
655.563000	3612
655.411000	3621
655.258000	3640
655.106000	3625
654.954000	3599
654.801000	3640
654.649000	3653
654.497000	3629
654.344000	3601
654.192000	3599
654.040000	3616
653.887000	3624
653.735000	3638
653.583000	3619
653.430000	3608
653.278000	3616
653.126000	3628
652.973000	3640
652.821000	3685
652.669000	3656
652.516000	3603
652.364000	3620
652.212000	3621
652.059000	3646
651.907000	3624
651.755000	3631
651.602000	3663
651.450000	3706
651.298000	3663
651.145000	3674
650.993000	3650
650.841000	3626
650.688000	3632
650.536000	3640
650.384000	3648
650.231000	3635
650.079000	3658
649.927000	3703
649.774000	3701
649.622000	3671
649.470000	3624
649.317000	3663
649.165000	3660
649.013000	3684
648.860000	3676
648.708000	3702
648.556000	3735
648.403000	3659
648.251000	3658
648.099000	3650
647.946000	3664
647.794000	3702
647.642000	3673
647.489000	3664
647.337000	3715
647.185000	3718
647.032000	3654
646.880000	3648
646.728000	3696
646.575000	3690
646.423000	3699
646.271000	3708
646.118000	3651
645.966000	3675
645.814000	3689
645.661000	3695
645.509000	3714
