wavelength_nm	intensity
721.892000	3489
721.735000	3500
721.577000	3534
721.420000	3513
721.262000	3495
721.105000	3486
720.948000	3522
720.790000	3524
720.633000	3563
720.475000	3540
720.318000	3506
720.160000	3492
720.003000	3534
719.845000	3548
719.688000	3536
719.530000	3570
719.373000	3549
719.215000	3514
719.058000	3535
718.900000	3512
718.743000	3464
718.586000	3475
718.428000	3492
718.271000	3490
718.113000	3482
717.956000	3536
717.798000	3524
717.641000	3509
717.483000	3500
717.326000	3502
717.168000	3477
717.011000	3479
716.853000	3502
716.696000	3503
716.538000	3501
716.381000	3511
716.223000	3503
716.066000	3520
715.909000	3528
715.751000	3558
715.594000	3524
715.436000	3508
715.279000	3525
715.121000	3519
714.964000	3503
714.806000	3522
714.649000	3501
714.491000	3508
714.334000	3525
714.176000	3510
714.019000	3475
713.861000	3495
713.704000	3505
713.547000	3468
713.389000	3468
713.232000	3540
713.074000	3517
712.917000	3478
712.759000	3502
712.602000	3496
712.444000	3491
712.287000	3473
712.129000	3446
711.972000	3488
711.814000	3514
711.657000	3518
711.499000	3515
711.342000	3518
711.185000	3539
711.027000	3512
710.870000	3494
710.712000	3476
710.555000	3508
710.397000	3573
710.240000	3589
710.082000	3548
709.925000	3503
709.767000	3505
709.610000	3500
709.452000	3475
709.295000	3512
709.137000	3485
708.980000	3534
708.822000	3545
708.665000	3491
708.508000	3503
708.350000	3512
708.193000	3526
708.035000	3554
707.878000	3503
707.720000	3463
707.563000	3489
707.405000	3488
707.248000	3508
707.090000	3497
706.933000	3500
706.775000	3520
706.618000	3520
706.460000	3538
706.303000	3517
706.146000	3518
705.988000	3508
705.831000	3485
705.673000	3515
705.516000	3484
705.358000	3520
705.201000	3534
705.043000	3522
704.886000	3468
704.728000	3499
704.571000	3531
704.413000	3522
704.256000	3542
704.098000	3539
703.941000	3536
703.784000	3522
703.626000	3535
703.469000	3572
703.311000	3503
703.154000	3515
702.996000	3520
702.839000	3514
702.681000	3538
702.524000	3519
702.366000	3497
702.209000	3509
702.051000	3529
701.894000	3536
701.736000	3493
701.579000	3516
701.422000	3526
701.264000	3515
701.107000	3504
700.949000	3520
700.792000	3534
700.634000	3523
700.477000	3505
700.319000	3528
700.162000	3506
700.004000	3503
699.847000	3488
699.689000	3485
699.532000	3513
699.374000	3548
699.217000	3590
699.059000	3552
698.902000	3554
698.745000	3548
698.587000	3506
698.430000	3516
698.272000	3503
698.115000	3502
697.957000	3518
697.800000	3565
697.642000	3563
697.485000	3533
697.327000	3521
697.170000	3492
697.012000	3474
696.855000	3498
696.697000	3498
696.540000	3503
696.388000	3545
696.235000	3551
696.083000	3538
695.931000	3503
695.778000	3490
695.626000	3528
695.474000	3542
695.321000	3513
695.169000	3500
695.017000	3522
694.864000	3559
694.712000	3552
694.560000	3510
694.407000	3533
694.255000	3576
694.103000	3527
693.950000	3528
693.798000	3516
693.646000	3499
693.493000	3545
693.341000	3557
693.189000	3544
693.036000	3535
692.884000	3522
692.732000	3520
692.579000	3491
692.427000	3481
692.275000	3488
692.122000	3492
691.970000	3510
691.818000	3531
691.665000	3550
691.513000	3555
691.361000	3519
691.208000	3491
691.056000	3500
690.904000	3545
690.751000	3512
690.599000	3506
690.447000	3515
690.294000	3493
690.142000	3491
689.990000	3496
689.837000	3493
689.685000	3519
689.533000	3517
689.380000	3536
689.228000	3575
689.076000	3532
688.923000	3523
