wavelength_nm	intensity
721.892000	3476
721.735000	3456
721.577000	3505
721.420000	3522
721.262000	3509
721.105000	3501
720.948000	3500
720.790000	3474
720.633000	3476
720.475000	3499
720.318000	3496
720.160000	3481
720.003000	3496
719.845000	3504
719.688000	3508
719.530000	3527
719.373000	3504
719.215000	3496
719.058000	3495
718.900000	3483
718.743000	3470
718.586000	3510
718.428000	3533
718.271000	3524
718.113000	3544
717.956000	3514
717.798000	3494
717.641000	3535
717.483000	3534
717.326000	3484
717.168000	3485
717.011000	3538
716.853000	3518
716.696000	3500
716.538000	3503
716.381000	3525
716.223000	3484
716.066000	3490
715.909000	3495
715.751000	3472
715.594000	3458
715.436000	3481
715.279000	3476
715.121000	3496
714.964000	3516
714.806000	3520
714.649000	3505
714.491000	3531
714.334000	3519
714.176000	3497
714.019000	3533
713.861000	3543
713.704000	3541
713.547000	3537
713.389000	3524
713.232000	3511
713.074000	3479
712.917000	3471
712.759000	3439
712.602000	3461
712.444000	3556
712.287000	3530
712.129000	3518
711.972000	3545
711.814000	3539
711.657000	3522
711.499000	3517
711.342000	3499
711.185000	3479
711.027000	3511
710.870000	3524
710.712000	3538
710.555000	3538
710.397000	3526
710.240000	3525
710.082000	3475
709.925000	3464
709.767000	3450
709.610000	3480
709.452000	3517
709.295000	3516
709.137000	3514
708.980000	3515
708.822000	3492
708.665000	3519
708.508000	3504
708.350000	3516
708.193000	3524
708.035000	3503
707.878000	3492
707.720000	3512
707.563000	3535
707.405000	3534
707.248000	3503
707.090000	3492
706.933000	3475
706.775000	3513
706.618000	3540
706.460000	3533
706.303000	3521
706.146000	3519
705.988000	3526
705.831000	3544
705.673000	3519
705.516000	3473
705.358000	3457
705.201000	3492
705.043000	3513
704.886000	3534
704.728000	3541
704.571000	3497
704.413000	3522
704.256000	3538
704.098000	3534
703.941000	3530
703.784000	3522
703.626000	3505
703.469000	3509
703.311000	3542
703.154000	3528
702.996000	3518
702.839000	3526
702.681000	3519
702.524000	3524
702.366000	3509
702.209000	3511
702.051000	3516
701.894000	3507
701.736000	3520
701.579000	3532
701.422000	3562
701.264000	3550
701.107000	3522
700.949000	3500
700.792000	3507
700.634000	3520
700.477000	3494
700.319000	3488
700.162000	3515
700.004000	3541
699.847000	3543
699.689000	3529
699.532000	3542
699.374000	3506
699.217000	3479
699.059000	3539
698.902000	3547
698.745000	3527
698.587000	3547
698.430000	3522
698.272000	3535
698.115000	3534
697.957000	3521
697.800000	3545
697.642000	3493
697.485000	3491
697.327000	3508
697.170000	3532
697.012000	3544
696.855000	3539
696.697000	3524
696.540000	3518
696.388000	3478
696.235000	3517
696.083000	3534
695.931000	3566
695.778000	3558
695.626000	3523
695.474000	3528
695.321000	3564
695.169000	3534
695.017000	3492
694.864000	3514
694.712000	3503
694.560000	3513
694.407000	3548
694.255000	3542
694.103000	3532
693.950000	3524
693.798000	3489
693.646000	3500
693.493000	3524
693.341000	3567
693.189000	3525
693.036000	3549
692.884000	3563
692.732000	3505
692.579000	3508
692.427000	3555
692.275000	3529
692.122000	3514
691.970000	3534
691.818000	3511
691.665000	3486
691.513000	3503
691.361000	3489
691.208000	3498
691.056000	3502
690.904000	3511
690.751000	3532
690.599000	3522
690.447000	3514
690.294000	3518
690.142000	3504
689.990000	3494
689.837000	3523
689.685000	3547
689.533000	3524
689.380000	3517
689.228000	3497
689.076000	3528
688.923000	3525
688.771000	3491
688.619000	3520
688.466000	3532
688.314000	3526
688.162000	3558
688.009000	3552
687.857000	3545
687.705000	3577
687.552000	3544
687.400000	3541
687.248000	3534
687.095000	3507
686.943000	3510
686.791000	3527
686.638000	3552
686.486000	3576
686.334000	3562
686.181000	3531
686.029000	3557
685.877000	3569
685.724000	3529
685.572000	3536
685.420000	3545
685.267000	3525
685.115000	3528
684.963000	3551
684.811000	3530
684.658000	3507
684.506000	3539
684.354000	3550
684.201000	3519
684.049000	3519
683.897000	3548
683.744000	3555
683.592000	3526
683.440000	3510
683.287000	3500
683.135000	3518
682.983000	3519
682.830000	3540
682.678000	3578
682.526000	3576
682.373000	3558
682.221000	3574
682.069000	3561
681.916000	3553
681.764000	3567
681.612000	3524
681.459000	3515
681.307000	3547
681.155000	3543
681.002000	3550
680.850000	3574
680.698000	3532
680.545000	3508
680.393000	3555
680.241000	3569
