Wavelength,Intensity
0.000000,4475
0.000000,4463
0.000000,4413
0.000000,4470
0.000000,4465
0.000000,4402
0.000000,4421
0.000000,4432
0.000000,4418
0.000000,4421
0.000000,4416
0.000000,4414
0.000000,4443
0.000000,4458
0.000000,4422
0.000000,4438
0.000000,4478
0.000000,5068
0.000000,5292
0.000000,5225
0.000000,5429
0.000000,5425
0.000000,5299
0.000000,5578
0.000000,5762
0.000000,5324
0.000000,5140
0.000000,5315
0.000000,5424
0.000000,5419
0.000000,5642
0.000000,5608
0.000000,5418
0.000000,5412
0.000000,5561
0.000000,5578
0.000000,5590
0.000000,5571
0.000000,5720
0.000000,5579
0.000000,5553
0.000000,5783
0.000000,5779
0.000000,5616
0.000000,5508
0.000000,5569
719.797000,5554
719.640000,5886
719.483000,5632
719.325000,5506
719.168000,5562
719.011000,5630
718.854000,5705
718.697000,5602
718.540000,5527
718.383000,5510
718.225000,5461
718.068000,5627
717.911000,5578
717.754000,5770
717.597000,5848
717.440000,5758
717.283000,5440
717.125000,5601
716.968000,5814
716.811000,5671
716.654000,5658
716.497000,5641
716.340000,5427
716.183000,5442
716.025000,5610
715.868000,5853
715.711000,5643
715.554000,5475
715.397000,5758
715.240000,5671
715.083000,5445
714.926000,5621
714.768000,5487
714.611000,5559
714.454000,5566
714.297000,5506
714.140000,5517
713.983000,5628
713.826000,5572
713.668000,5386
713.511000,5513
713.354000,5571
713.197000,5522
713.040000,5559
712.883000,5478
712.726000,5512
712.568000,5649
712.411000,5722
712.254000,5504
712.097000,5320
711.940000,5671
711.783000,5817
711.626000,5673
711.468000,5671
711.311000,5727
711.154000,5698
710.997000,5618
710.840000,5721
710.683000,5659
710.526000,5694
710.368000,5673
710.211000,5743
710.054000,5591
709.897000,5457
709.740000,5748
709.583000,5656
709.426000,5492
709.268000,5451
709.111000,5458
708.954000,5522
708.797000,5445
708.640000,5483
708.483000,5648
708.326000,5634
708.168000,5756
708.011000,5591
707.854000,5367
707.697000,5519
707.540000,5594
