Wavelength,Intensity
0.000000,4486
0.000000,4483
0.000000,4407
0.000000,4442
0.000000,4452
0.000000,4428
0.000000,4390
0.000000,4393
0.000000,4425
0.000000,4435
0.000000,4388
0.000000,4414
0.000000,4449
0.000000,4446
0.000000,4460
0.000000,4487
0.000000,4440
0.000000,4977
0.000000,5241
0.000000,5233
0.000000,5408
0.000000,5371
0.000000,5280
0.000000,5592
0.000000,5764
0.000000,5374
0.000000,5172
0.000000,5323
0.000000,5356
0.000000,5365
0.000000,5548
0.000000,5601
0.000000,5481
0.000000,5413
0.000000,5484
0.000000,5566
0.000000,5638
0.000000,5615
0.000000,5700
0.000000,5591
0.000000,5581
0.000000,5792
0.000000,5753
0.000000,5604
0.000000,5504
0.000000,5512
719.797000,5529
719.640000,5872
719.483000,5633
719.325000,5521
719.168000,5622
719.011000,5655
718.854000,5681
718.697000,5607
718.540000,5514
718.383000,5504
718.225000,5492
718.068000,5613
717.911000,5566
717.754000,5759
717.597000,5784
717.440000,5742
717.283000,5452
717.125000,5562
716.968000,5755
716.811000,5616
716.654000,5632
716.497000,5664
716.340000,5436
716.183000,5395
716.025000,5538
715.868000,5811
715.711000,5660
715.554000,5455
715.397000,5741
715.240000,5625
715.083000,5427
714.926000,5649
714.768000,5516
714.611000,5563
714.454000,5555
714.297000,5501
714.140000,5452
713.983000,5523
713.826000,5493
713.668000,5294
713.511000,5471
713.354000,5587
713.197000,5586
713.040000,5631
712.883000,5492
712.726000,5481
712.568000,5657
712.411000,5755
712.254000,5502
712.097000,5356
711.940000,5647
711.783000,5743
711.626000,5654
711.468000,5629
711.311000,5706
711.154000,5671
710.997000,5589
710.840000,5646
710.683000,5625
710.526000,5644
710.368000,5596
710.211000,5681
710.054000,5602
709.897000,5476
709.740000,5771
709.583000,5697
709.426000,5501
709.268000,5436
709.111000,5441
708.954000,5433
708.797000,5408
708.640000,5466
708.483000,5631
708.326000,5606
708.168000,5712
708.011000,5539
707.854000,5312
707.697000,5473
707.540000,5541
707.383000,5681
707.226000,5703
707.068000,5684
706.911000,5696
706.754000,5551
706.597000,5435
706.440000,5588
706.283000,5742
706.126000,5651
705.968000,5375
705.811000,5514
705.654000,5496
705.497000,5408
705.340000,5496
705.183000,5512
705.026000,5462
704.868000,5531
704.711000,5429
704.554000,5503
704.397000,5752
704.240000,5595
704.083000,5634
703.926000,5515
703.768000,5578
703.611000,5859
703.454000,5643
703.297000,5617
703.140000,5628
702.983000,5742
702.826000,5560
702.668000,5534
702.511000,5639
702.354000,5425
702.197000,5433
702.040000,5545
701.883000,5740
701.726000,5545
701.569000,5427
701.411000,5506
701.254000,5554
701.097000,5569
700.940000,5530
700.783000,5414
700.626000,5577
700.469000,5583
700.311000,5288
700.154000,5704
699.997000,5828
699.840000,5580
699.683000,5595
699.526000,5613
699.369000,5721
699.211000,5779
699.054000,5579
698.897000,5543
698.740000,5558
698.583000,5562
698.426000,5479
698.269000,5437
698.111000,5306
697.954000,5364
697.797000,5404
697.640000,5720
697.483000,5781
697.326000,5488
697.169000,5416
697.011000,5688
696.854000,5738
696.697000,5498
696.540000,5578
696.388000,5580
696.236000,5560
696.085000,5482
695.933000,5576
695.781000,5610
695.629000,5532
695.478000,5495
695.326000,5342
695.174000,5345
695.022000,5557
694.871000,5408
694.719000,5622
694.567000,5962
694.415000,5851
694.264000,5699
694.112000,5352
693.960000,5342
693.808000,5384
693.657000,5368
693.505000,5405
693.353000,5417
693.201000,5432
693.050000,5527
692.898000,5882
692.746000,5758
692.594000,5576
692.443000,5800
692.291000,5697
692.139000,5841
691.987000,5935
691.836000,5777
691.684000,5766
691.532000,5805
691.380000,5687
691.229000,5506
691.077000,5548
690.925000,5478
690.773000,5456
690.622000,5647
690.470000,5586
690.318000,5570
690.166000,5769
690.015000,5707
689.863000,5667
689.711000,5742
689.559000,5730
689.408000,5522
689.256000,5679
689.104000,6115
688.952000,5821
688.801000,5681
688.649000,5808
688.497000,5682
688.345000,5455
688.194000,5603
688.042000,5687
687.890000,5522
687.738000,5619
687.587000,5691
687.435000,5741
687.283000,5808
687.131000,5485
686.980000,5599
686.828000,5438
686.676000,5417
686.524000,5715
686.373000,5895
686.221000,5695
686.069000,5543
685.917000,5736
685.766000,5518
685.614000,5326
685.462000,5436
685.310000,5525
685.159000,5550
685.007000,5691
684.855000,5696
684.703000,5476
684.552000,5531
684.400000,5692
684.248000,5762
684.096000,5561
683.945000,5593
683.793000,5703
683.641000,5499
683.489000,5689
683.338000,5640
