Wavelength,Intensity
0.000000,4541
0.000000,4528
0.000000,4456
0.000000,4442
0.000000,4443
0.000000,4462
0.000000,4460
0.000000,4425
0.000000,4378
0.000000,4443
0.000000,4446
0.000000,4443
0.000000,4428
0.000000,4439
0.000000,4452
0.000000,4445
0.000000,4445
0.000000,5018
0.000000,5295
0.000000,5213
0.000000,5370
0.000000,5374
0.000000,5263
0.000000,5586
0.000000,5758
0.000000,5344
0.000000,5151
0.000000,5327
0.000000,5393
0.000000,5356
0.000000,5603
0.000000,5615
0.000000,5448
0.000000,5414
0.000000,5558
0.000000,5612
0.000000,5663
0.000000,5595
0.000000,5667
0.000000,5558
0.000000,5524
0.000000,5719
0.000000,5758
0.000000,5579
0.000000,5449
0.000000,5504
719.797000,5519
719.640000,5821
719.483000,5553
719.325000,5450
719.168000,5563
719.011000,5600
718.854000,5608
718.697000,5556
718.540000,5496
718.383000,5480
718.225000,5446
718.068000,5530
717.911000,5533
717.754000,5732
717.597000,5763
717.440000,5710
717.283000,5433
717.125000,5578
716.968000,5788
716.811000,5668
716.654000,5640
716.497000,5660
716.340000,5449
716.183000,5414
716.025000,5528
715.868000,5784
715.711000,5596
715.554000,5457
715.397000,5758
715.240000,5625
715.083000,5402
714.926000,5572
714.768000,5456
714.611000,5572
714.454000,5506
714.297000,5455
714.140000,5445
713.983000,5561
713.826000,5496
713.668000,5331
713.511000,5541
713.354000,5635
713.197000,5541
713.040000,5550
712.883000,5472
712.726000,5482
712.568000,5626
712.411000,5672
712.254000,5465
712.097000,5365
711.940000,5646
711.783000,5754
711.626000,5610
711.468000,5589
711.311000,5658
711.154000,5646
710.997000,5567
710.840000,5598
710.683000,5568
710.526000,5643
710.368000,5588
710.211000,5671
710.054000,5609
709.897000,5509
709.740000,5776
709.583000,5658
709.426000,5467
709.268000,5438
709.111000,5488
708.954000,5448
708.797000,5397
708.640000,5470
708.483000,5620
708.326000,5580
708.168000,5731
708.011000,5538
707.854000,5299
707.697000,5449
707.540000,5559
707.383000,5692
707.226000,5692
707.068000,5671
706.911000,5687
706.754000,5539
706.597000,5418
706.440000,5575
706.283000,5700
706.126000,5554
705.968000,5326
705.811000,5473
705.654000,5461
705.497000,5374
705.340000,5436
705.183000,5430
705.026000,5400
704.868000,5472
704.711000,5434
704.554000,5528
704.397000,5735
704.240000,5591
704.083000,5594
703.926000,5528
703.768000,5581
703.611000,5826
703.454000,5560
703.297000,5547
703.140000,5621
702.983000,5691
702.826000,5581
702.668000,5598
702.511000,5696
702.354000,5395
702.197000,5376
702.040000,5538
701.883000,5722
701.726000,5549
701.569000,5476
701.411000,5525
701.254000,5544
701.097000,5550
700.940000,5513
700.783000,5395
700.626000,5505
700.469000,5545
700.311000,5246
700.154000,5683
699.997000,5756
699.840000,5551
699.683000,5561
699.526000,5626
699.369000,5755
699.211000,5811
699.054000,5551
698.897000,5448
698.740000,5517
698.583000,5589
698.426000,5460
698.269000,5345
698.111000,5267
697.954000,5440
697.797000,5425
697.640000,5662
697.483000,5654
697.326000,5408
697.169000,5415
697.011000,5622
696.854000,5615
696.697000,5417
696.540000,5462
696.388000,5495
696.236000,5486
696.085000,5397
695.933000,5452
695.781000,5528
695.629000,5561
695.478000,5422
695.326000,5248
695.174000,5291
695.022000,5523
694.871000,5393
694.719000,5565
694.567000,5886
694.415000,5746
694.264000,5667
694.112000,5376
693.960000,5324
693.808000,5365
693.657000,5363
693.505000,5324
693.353000,5295
693.201000,5288
693.050000,5479
692.898000,5840
692.746000,5615
692.594000,5452
692.443000,5765
692.291000,5684
692.139000,5739
691.987000,5805
691.836000,5690
691.684000,5670
691.532000,5688
691.380000,5586
691.229000,5412
691.077000,5487
690.925000,5397
690.773000,5390
690.622000,5531
690.470000,5440
690.318000,5480
690.166000,5665
690.015000,5549
689.863000,5486
689.711000,5572
689.559000,5662
689.408000,5529
689.256000,5620
689.104000,6009
688.952000,5703
688.801000,5529
688.649000,5701
688.497000,5653
688.345000,5434
688.194000,5514
688.042000,5592
687.890000,5441
687.738000,5461
687.587000,5584
687.435000,5590
687.283000,5582
687.131000,5357
686.980000,5488
686.828000,5321
686.676000,5344
686.524000,5661
686.373000,5798
686.221000,5585
686.069000,5458
685.917000,5637
685.766000,5436
685.614000,5217
685.462000,5297
685.310000,5447
685.159000,5551
685.007000,5596
684.855000,5585
684.703000,5410
684.552000,5414
684.400000,5598
684.248000,5606
684.096000,5408
683.945000,5504
683.793000,5582
683.641000,5418
683.489000,5623
683.338000,5600
683.186000,5417
683.034000,5326
682.882000,5411
682.731000,5499
682.579000,5502
682.427000,5346
682.275000,5437
682.124000,5604
681.972000,5620
681.820000,5580
681.668000,5586
681.517000,5816
681.365000,5747
681.213000,5835
681.061000,5812
680.910000,5342
680.758000,5377
680.606000,5594
680.454000,5542
680.303000,5567
680.151000,5604
679.999000,5378
679.847000,5226
679.696000,5390
679.544000,5420
679.392000,5539
679.240000,5438
679.089000,5369
678.937000,5445
678.785000,5472
678.633000,5397
678.482000,5287
678.330000,5699
678.178000,5878
678.026000,5522
677.875000,5430
677.723000,5418
677.571000,5434
677.419000,5599
677.268000,5747
677.116000,5650
676.964000,5385
676.812000,5579
676.661000,5529
676.509000,5876
676.357000,5650
676.205000,5249
676.054000,5601
675.902000,5631
675.750000,5524
675.598000,5627
675.447000,5350
675.295000,5340
675.143000,5698
674.991000,5878
674.840000,5571
674.688000,5422
674.536000,5344
674.384000,5373
674.233000,5541
674.081000,5486
673.929000,5547
673.777000,5403
673.626000,5381
673.474000,5450
673.322000,5686
673.170000,5561
673.019000,5316
672.867000,5355
672.715000,5684
672.563000,5779
672.412000,5565
672.260000,5610
672.108000,5598
671.956000,5446
671.805000,5646
671.653000,5720
671.501000,5487
671.349000,5530
671.198000,5437
671.046000,5324
670.894000,5461
670.742000,5381
670.591000,5458
670.439000,5555
670.287000,5547
670.135000,5483
669.984000,5489
669.832000,5596
669.680000,5351
669.528000,5271
669.377000,5382
669.225000,5723
669.073000,5679
668.921000,5410
668.770000,5389
668.618000,5566
668.466000,5473
668.314000,5430
668.163000,5523
668.011000,5462
667.859000,5536
667.707000,5471
667.556000,5300
667.404000,5378
667.252000,5440
667.100000,5417
666.948000,5423
666.797000,5448
666.645000,5604
666.493000,5714
666.342000,5404
666.190000,5263
666.038000,5328
665.886000,5544
665.734000,5357
665.583000,5448
665.431000,5652
665.279000,5641
665.127000,5542
664.976000,5558
664.824000,5666
664.672000,5553
664.520000,5536
664.369000,5360
664.217000,5382
664.065000,5448
663.913000,5521
663.762000,5595
663.610000,5342
663.458000,5411
663.306000,5408
663.155000,5143
663.003000,5175
662.851000,5465
662.699000,5395
662.548000,5292
662.396000,5587
662.244000,5566
662.092000,5404
661.941000,5470
661.789000,5481
661.637000,5466
661.485000,5429
661.334000,5475
661.182000,5439
661.030000,5473
660.878000,5383
660.727000,5397
660.575000,5576
660.423000,5638
660.271000,5440
660.120000,5381
659.968000,5427
659.816000,5412
659.664000,5574
659.513000,5677
659.361000,5528
659.209000,5332
659.057000,5426
658.906000,5277
658.754000,5241
658.602000,5488
658.450000,5616
658.299000,5558
658.147000,5498
657.995000,5415
657.843000,5701
657.692000,5649
657.540000,5573
657.388000,5310
657.236000,5244
657.085000,5582
656.933000,5468
656.781000,5477
656.629000,5516
656.478000,5383
656.326000,5422
656.174000,5515
656.022000,5488
655.871000,5563
655.719000,5546
655.567000,5387
655.415000,5411
655.264000,5558
655.112000,5593
654.960000,5461
654.808000,5395
654.657000,5460
654.505000,5462
654.353000,5887
654.201000,5828
654.050000,5476
653.898000,5427
653.746000,5323
653.594000,5312
653.443000,5379
653.291000,5630
653.139000,5594
652.987000,5550
652.836000,5519
652.684000,5444
652.532000,5490
652.380000,5483
652.229000,5494
652.077000,5459
651.925000,5417
651.773000,5484
651.622000,5530
651.470000,5577
651.318000,5542
651.166000,5484
651.015000,5642
650.863000,5445
650.711000,5524
650.559000,5684
650.408000,5561
650.256000,5363
650.104000,5322
649.952000,5534
649.801000,5433
649.649000,5411
649.497000,5507
649.345000,5543
649.194000,5615
649.042000,5439
648.890000,5367
648.738000,5738
648.587000,5982
648.435000,5665
648.283000,5587
648.131000,5613
647.980000,5601
647.828000,5765
647.676000,5557
647.524000,5430
647.373000,5346
647.221000,5418
647.069000,5474
646.917000,5387
646.766000,5723
646.614000,5549
646.462000,5607
646.310000,5846
646.159000,5770
646.007000,5571
645.855000,5447
645.703000,5388
645.552000,5566
645.400000,5660
645.248000,5505
645.096000,5433
644.945000,5595
644.793000,5508
644.641000,5380
644.489000,5545
644.338000,5498
644.186000,5562
644.034000,5501
643.882000,5373
643.731000,5402
643.579000,5492
643.427000,5540
643.275000,5397
643.124000,5197
642.972000,5305
642.820000,5499
642.668000,5454
642.517000,5467
642.365000,5546
642.213000,5540
642.061000,5597
641.910000,5602
641.758000,5426
641.606000,5433
641.454000,5409
641.303000,5461
641.151000,5317
640.999000,5424
640.847000,5395
640.696000,5606
640.544000,5523
640.392000,5513
640.240000,5800
640.089000,5604
639.937000,5577
639.785000,5508
639.633000,5600
639.482000,5536
639.330000,5363
639.178000,5427
639.026000,5463
638.875000,5603
638.723000,5557
638.571000,5468
638.419000,5318
638.268000,5442
638.116000,5261
637.964000,5294
637.812000,5356
637.661000,5417
637.509000,5548
637.357000,5486
637.205000,5445
637.053000,5521
636.902000,5546
636.750000,5495
636.598000,5524
636.447000,5347
636.295000,5613
636.143000,5683
635.991000,5779
635.839000,5604
635.688000,5617
635.536000,5765
635.384000,5547
635.232000,5610
635.081000,5741
634.929000,5632
634.777000,5503
634.625000,5251
634.474000,5294
634.322000,5614
634.170000,5470
634.018000,5328
633.867000,5376
633.715000,5349
633.563000,5412
633.411000,5636
633.260000,5578
633.108000,5381
632.956000,5375
632.804000,5597
632.653000,5946
632.501000,5597
632.349000,5277
632.197000,5200
632.046000,5188
631.894000,5344
631.742000,5592
631.590000,5655
631.439000,5558
631.287000,5650
631.135000,5790
630.983000,5586
630.832000,5691
630.680000,5629
630.528000,5475
630.376000,5590
630.225000,5367
630.073000,5250
629.921000,5258
629.769000,5479
629.618000,5581
629.466000,5368
629.314000,5482
629.162000,5359
629.011000,5430
628.859000,5481
628.707000,5517
628.555000,5519
628.404000,5374
628.252000,5459
628.100000,5627
627.948000,5654
627.797000,5494
627.645000,5639
627.493000,5568
627.341000,5472
627.190000,5452
627.038000,5355
626.886000,5320
626.734000,5426
626.583000,5481
626.431000,5654
626.279000,5502
626.127000,5426
625.976000,5555
625.824000,5469
625.672000,5260
625.520000,5198
625.369000,5404
625.217000,5359
625.065000,5529
624.913000,5950
624.762000,5917
624.610000,5655
624.458000,5455
624.306000,5431
624.155000,5617
624.003000,5599
623.851000,5497
623.699000,5571
623.548000,5647
623.396000,5723
623.244000,5530
623.092000,5530
622.941000,5628
622.789000,5438
622.637000,5618
622.485000,5764
622.334000,5564
622.182000,5621
622.030000,5521
