Wavelength,Intensity
0.000000,4471
0.000000,4461
0.000000,4405
0.000000,4452
0.000000,4466
0.000000,4430
0.000000,4403
0.000000,4409
0.000000,4405
0.000000,4422
0.000000,4434
0.000000,4413
0.000000,4385
0.000000,4396
0.000000,4450
0.000000,4472
0.000000,4442
0.000000,5008
0.000000,5307
0.000000,5274
0.000000,5434
0.000000,5415
0.000000,5224
0.000000,5528
0.000000,5699
0.000000,5302
0.000000,5197
0.000000,5358
0.000000,5359
0.000000,5406
0.000000,5618
0.000000,5642
0.000000,5491
0.000000,5455
0.000000,5544
0.000000,5649
0.000000,5634
0.000000,5541
0.000000,5683
0.000000,5562
0.000000,5581
0.000000,5757
0.000000,5695
0.000000,5584
0.000000,5488
0.000000,5523
719.797000,5476
719.640000,5753
719.483000,5583
719.325000,5542
719.168000,5604
719.011000,5613
718.854000,5659
718.697000,5606
718.540000,5522
718.383000,5494
718.225000,5410
718.068000,5593
717.911000,5579
717.754000,5737
717.597000,5752
717.440000,5664
717.283000,5416
717.125000,5574
716.968000,5780
716.811000,5604
716.654000,5593
716.497000,5644
716.340000,5475
716.183000,5438
716.025000,5563
715.868000,5786
715.711000,5617
715.554000,5459
715.397000,5685
715.240000,5517
715.083000,5329
714.926000,5568
714.768000,5450
714.611000,5591
714.454000,5600
714.297000,5494
714.140000,5444
713.983000,5559
713.826000,5511
713.668000,5370
713.511000,5508
713.354000,5580
713.197000,5538
713.040000,5557
712.883000,5481
712.726000,5494
712.568000,5586
712.411000,5661
712.254000,5494
712.097000,5306
711.940000,5632
711.783000,5779
711.626000,5681
711.468000,5647
711.311000,5656
711.154000,5651
710.997000,5545
710.840000,5575
710.683000,5563
710.526000,5615
710.368000,5588
710.211000,5701
710.054000,5589
709.897000,5499
709.740000,5703
709.583000,5624
709.426000,5426
709.268000,5364
709.111000,5411
708.954000,5460
708.797000,5398
708.640000,5436
708.483000,5588
708.326000,5591
708.168000,5694
708.011000,5473
707.854000,5303
707.697000,5462
707.540000,5541
707.383000,5655
707.226000,5762
707.068000,5737
706.911000,5615
706.754000,5499
706.597000,5387
706.440000,5516
706.283000,5664
706.126000,5588
705.968000,5300
705.811000,5427
705.654000,5427
705.497000,5373
705.340000,5487
705.183000,5477
705.026000,5398
704.868000,5423
704.711000,5437
704.554000,5474
704.397000,5621
704.240000,5515
704.083000,5577
703.926000,5474
703.768000,5526
703.611000,5774
703.454000,5524
703.297000,5560
703.140000,5617
702.983000,5675
702.826000,5487
702.668000,5563
702.511000,5689
702.354000,5420
702.197000,5331
702.040000,5504
701.883000,5669
701.726000,5518
701.569000,5399
701.411000,5487
701.254000,5516
701.097000,5524
